floor_kind,count,aggregate_best_compile_us,aggregate_estimated_floor_us,aggregate_excess_us_to_floor,aggregate_potential_speedup,confidence_counts,top_excess_examples
structured_scatter_reduce_heuristic,96,66608.6398512125,23326.911867409945,43281.72798380256,2.8554418274401554,low:96,sum_sum_sum_45f02142ecfd;sum_sum_sum_afd118ca907d;sum_sum_sum_f90d684d32cb;sum_sum_sum_7b24a3457260;sum_sum_sum_8e6cde42e572;sum_sum_cdaed89f373c;sum_sum_sum_dadf6aa035dd;sum_sum_6a14a9c9ba88
multi_output_reduction_heuristic,354,74940.35217445344,53953.852747486904,20986.499426966533,1.3889712848716638,medium:354,sum_e00c7291b6ee;sum_b691b8dad90a;sum_sum_sum_86dbf5a906db;sum_sum_sum_70d71fcb0d68;sum_sum_sum_db1524bc41dd;sum_sum_74337e6f6544;sum_9ba8ffa3e0fb;sum_sum_sum_431633879271
online_softmax_ce_heuristic,104,37392.31996610761,21249.143856395036,16143.17610971257,1.7597094837707639,medium:104,amax_sum_sum_dc96a87ba8db;amax_sum_3ed297ef02cd;amax_sum_sum_1bad0f362efd;amax_sum_f0661488d68c;amax_sum_amax_2a81770def44;amax_sum_4c524f75213e;amax_sum_87e1fb077f24;amax_sum_amax_68fa105ccaf0
pointwise_expression_heuristic,169,14399.551905691624,7518.591965752654,6880.95993993897,1.9151926279923008,medium:169,pointwise_8793407401ab;pointwise_7f55bac8afd0;pointwise_485ad74a8b0e;pointwise_71e3a6c09140;pointwise_13f26d420251;pointwise_a14dcfc06344;pointwise_f9c1d1b08ddb;pointwise_e5a8078b814d
norm_template_heuristic,355,18912.767913658172,14921.931140033528,3990.8367736246437,1.2674477409239455,low_to_medium:355,var_mean_e814c09a1fdb;var_mean_f0d7c08a0622;var_mean_765fb8f2c85e;var_mean_var_mean_6d7a29cb97f1;var_mean_83a48287f334;var_mean_var_mean_var_mean_0407b3e7c77f;var_mean_598830735cf6;var_mean_21efaf61742a
irregular_gather_reduce_heuristic,1,2434.0479373931885,407.5199840068817,2026.5279533863068,5.9728308620862265,low:1,sum_adeaebad93f7
layout_stencil_functional_update_heuristic,5,1546.0159885697067,423.05920369550586,1122.9567848742008,3.6543726624192336,low:5,pointwise_70c0751eb408;pointwise_531d72f1b34a;pointwise_27183a793fcd;pointwise_e5772e195244;pointwise_d9e050ab21ca
launch_dominated_adjusted_floor,4,158.2080014050007,148.54400025308132,9.664001151919365,1.0650581722281234,high:4,pointwise_77f01240c31d;pointwise_c14f03aac63b;pointwise_13bd7be3bbab;pointwise_b7a851a9ac93
generic_amax_reduction_heuristic,1,9.759999811649323,9.759999811649323,0.0,1.0,medium:1,amax_argmax_sum_5dfabd070411
rare_unknown_launch_adjusted,1,5.727999843657017,5.727999843657017,0.0,1.0,low:1,max_448f6b3c8f1d
